plan_id,plan_date,plant_id,yard_id,customer_id,region,product_cat,product_grade,priority_tier,priority_score,mode_pref,distance_km,rail_speed_kmph,transit_hours,lp_tph,lp_cutoff_active,lp_shift_util,effective_lp_tph,siding_slots,inventory_t,production_forecast_t,order_demand_t,sla_days,lead_days,rake_available,rake_type,wagons_available,wagon_type,route_block_hours,min_rake_tonnage,planned_qty_t,load_hours,siding_queue_hours,expected_demurrage,utilization_pct,terminal_cost,late_penalty_per_t_day,road_cost_per_t_km,rail_cost_total,road_cost_total,choose_rail_label,selected_for_rake_label,on_time_label
PLAN9XUY41,23-04-2025,P_BSP,CMO_MUMBAI,CUST0058,West,Wire,A,Normal,37.5,Rail,166,33.7,7.8,1121.6,0,0.81,1068.3,5,595,855.2,2061.2,2,6,0,RT58,45,BOST,5,2700,1108.1,1.04,7.38,11060.51,31.8,73690.23,149.6509241,1.219126166,732147.1,224251.67,0,0,1
PLANIBLJH7,24-04-2025,P_BSP,CMO_MUMBAI,CUST0088,West,Coil,A,Normal,65,Rail,544,41.5,18.1,811.3,0,0.96,802.3,4,1423.3,670,1546.9,8,4,1,MIX60,57,BOBRN,0,2850,1546.9,1.93,10.27,23528.61,43,83136.8,178.6917592,1.449683893,1033447.63,1219928.71,1,0,1
PLAN5LXO6Q,25-04-2025,P_BSP,CMO_MUMBAI,CUST0329,West,Rod,TMT,Normal,29.2,Rail,155,49.1,7.3,1062,1,0.81,859.8,3,3827.3,1455.1,1249.6,1,7,0,RT58,58,BOST,10,2700,1249.6,1.45,0.79,0,35.9,92054.23,234.9005957,1.750358743,627551.66,339023.48,0,0,1
PLANJIUJV6,26-04-2025,P_BSP,CMO_MUMBAI,CUST0356,West,Wire,HB,Normal,26,Rail,550,27.2,24.1,1028.4,0,0.81,980.5,5,2289,1276.1,2132.7,1,4,0,RT59,31,BOBRN,11,2750,2132.7,2.18,0,0,60.2,84310.69,151.2683109,1.78226802,1619639.34,2090573.65,1,0,0
PLANOH9SDB,27-04-2025,P_BSP,CMO_BHOPAL,CUST0384,Central,Wire,TMT,Normal,58,Rail,493,30.8,12.2,1387.7,0,0.52,1222.7,2,899.5,672.3,2918.7,8,4,1,RT58,45,BOST,0,2700,1302.9,1.07,7.81,5086.16,37.4,56718.35,186.2828848,1.462891068,1021109.39,939658.38,0,0,1
PLANDW2PCN,28-04-2025,P_BSP,CMO_KOLKATA,CUST0032,East,Slab,A,Normal,58.7,Rail,904,44.1,25.3,1222.6,0,0.84,1174.6,1,4915.5,695.7,2658.6,9,5,1,RT58,48,BOST,2,2700,2658.6,2.26,2.74,0,76.4,73178.12,111.654317,1.520774225,2311054.7,3654989.84,1,1,1
PLAN9T84AZ,29-04-2025,P_BSP,CMO_DELHI,CUST0200,North,Coil,HB,Normal,90.5,Rail,974,48.2,11.6,819.4,0,0.73,765,1,422.2,1118.9,1243.3,9,1,1,RT58,56,BOST,10,2700,1093.5,1.43,4,2886.66,31.4,70018.33,301.796614,1.550652008,1593578.8,1651551.38,1,0,1
PLANYTJXEP,30-04-2025,P_BSP,CMO_MUMBAI,CUST0147,West,Slab,A,Normal,47.5,Rail,805,37.1,34.3,1309.6,0,0.82,1249.4,5,1951.8,819,2042.2,8,5,1,RT58,68,BOST,10,2700,2042.2,1.63,4.87,9027.75,58.7,85150.17,266.1494679,1.157143069,2350665.14,1902309.65,0,0,1
PLANQ85JSG,01-03-2025,P_BSP,CMO_MUMBAI,CUST0068,West,Coil,A,VIP,121.7,Rail,536,28,21.4,682.3,1,0.88,562,4,5061.6,805.1,1202,8,5,0,MIX60,31,BOST,13,2850,1202,2.14,3.61,10233.76,33.4,80342.67,200.4760729,1.51084387,1153988.21,973394.4,0,0,1
PLAN65KXVF,22-01-2025,P_BSP,CMO_KOLKATA,CUST0334,East,Coil,S1,Normal,38.2,Rail,1388,48.6,35.5,918.7,0,0.76,863,5,705.7,525.2,1946.9,4,4,1,RT45,47,BRN,8,2200,1020.8,1.18,7.21,16592.99,34.9,91378.25,205.0833274,1.603268091,1886270.58,2271623.1,1,0,1
PLAN1T2TAL,22-02-2025,P_BSP,CMO_MUMBAI,CUST0278,West,Coil,TMT,High,96.1,Rail,1342,35.1,42.3,1203.7,0,0.62,1088.9,4,1358.5,1039.5,2126.2,8,4,0,RT58,52,BOXN,10,2700,1982.2,1.82,9.19,49453,54.2,61619.62,174.9138974,1.932947602,3191885.74,5141857.89,1,0,1
PLANA753LC,01-02-2025,P_BSP,CMO_KOLKATA,CUST0046,East,Wire,S1,Normal,27.4,Rail,1780,37.8,47.3,1043.9,0,0.91,1020.4,4,777.7,544.1,2019.3,7,7,1,RT58,41,BCNHL,1,2700,1104.2,1.08,0.9,0,30.7,100143.76,175.5430188,1.858429505,3166581.64,3652698.59,1,0,1
PLAN58DRC1,29-03-2025,P_BSP,CMO_MUMBAI,CUST0069,West,Wire,HB,Normal,93,Rail,1702,41.9,37.4,1497.9,0,0.89,1457.9,1,4217.3,544,2494.7,9,1,1,RT59,55,BOST,8,2750,2494.7,1.71,5.59,10760.18,70.5,107833.63,131.5395901,1.86004862,4752514.81,7897728.12,1,1,1
PLAN1ERTJ5,18-04-2025,P_BSP,CMO_BHOPAL,CUST0089,Central,Plate,A,VIP,122.6,Rail,732,36,16,1242.3,0,0.57,1107.4,2,1106,915.7,1297.1,8,5,0,RT58,59,BRN,1,2700,1297.1,1.17,16.76,54072.3,34.4,54726.6,211.7140877,1.894132473,1527649.16,1798435.6,1,0,1
PLANPHT0HL,30-01-2025,P_BSP,CMO_CHENNAI,CUST0151,South,Wire,TMT,High,66.5,Rail,751,34.7,26.3,1356.5,0,0.67,1245.8,3,3283,856.2,2736.2,2,6,1,RT45,43,BRN,7,2200,2736.2,2.2,8.93,31869.22,93.5,92385.4,120.460345,1.796183683,2542840.94,3690953.06,1,0,1
PLAN9XPSEI,02-07-2025,P_BSP,CMO_CHENNAI,CUST0038,South,Rod,TMT,Normal,34.5,Rail,1661,34.9,52,1366.7,0,0.92,1339.1,2,4160.2,813.5,1540.6,8,8,1,RT58,44,BOST,8,2700,1540.6,1.15,12,36963.03,44.3,70727.33,199.0652416,1.484926284,3713939.76,3799832.22,1,0,1
PLANMVIHCW,01-02-2025,P_BSP,CMO_MUMBAI,CUST0304,West,Rod,S1,Normal,50.5,Rail,1475,51.1,32.2,1089.2,0,0.88,1056.6,3,836.3,74.1,1004.3,8,5,1,RT58,30,BOST,0,2700,880.8,0.83,4.23,0,25.3,79852.31,218.8562823,1.46488306,2157710.09,1903146.77,0,0,1
PLANI64CIY,03-05-2025,P_BSP,CMO_DELHI,CUST0218,North,Coil,A,Normal,51.3,Rail,574,47,11.5,933.6,0,0.93,917.6,1,737,895.2,2502.8,9,6,0,RT59,46,BRN,9,2750,1274.1,1.39,10.3,29473.2,33.2,75049.58,198.0286791,1.579007751,1313773.9,1154781.11,0,0,1
PLANHE7UR2,03-01-2025,P_BSP,CMO_BHOPAL,CUST0110,Central,Coil,HB,Normal,24.5,Rail,1727,43.4,42.2,1187.5,1,0.59,906,3,2410.3,0,2120.7,3,4,1,RT58,37,BCNHL,10,2700,2120.7,2.34,11,52513.52,59,98725.02,135.2164131,1.355737064,4477130.44,4965317.72,1,0,1
PLAN3GDPPQ,21-01-2025,P_BSP,CMO_KOLKATA,CUST0033,East,Coil,S1,High,94.2,Rail,1148,26.9,40.2,1416.8,1,0.76,1133.4,4,2879.5,1208.9,2479.8,8,5,1,RT58,60,BOST,11,2700,2479.8,2.19,8.6,32591.47,71.3,76646.96,238.8332254,1.908768033,4099177.22,5433900.69,1,0,1
PLAN0Y9DOM,02-02-2025,P_BSP,CMO_BHOPAL,CUST0020,Central,Slab,CR,Normal,62.8,Rail,1504,43.5,30.5,1141.8,0,0.73,1064.2,5,1733.2,578.6,1906.1,8,5,0,RT45,55,BOBRN,4,2200,1906.1,1.79,7.47,8449.01,70.6,62935.14,131.2634096,1.559365796,3442458.7,4470349.94,1,0,1
PLAN5IGQPK,17-03-2025,P_BSP,CMO_DELHI,CUST0071,North,Coil,HB,Normal,45.6,Rail,1350,43.1,29.6,1347.7,0,0.6,1213.4,3,1836,863.6,271.7,4,2,1,RT58,47,BOBRN,0,2700,271.7,0.22,4.65,0,7.8,77924.43,202.2327418,1.710514725,1312267.22,627408.25,0,0,1
PLANI7P5TB,27-02-2025,P_BSP,CMO_CHENNAI,CUST0264,South,Coil,S1,High,68.2,Rail,1719,32.3,51.8,1193.2,0,0.74,1115.9,2,4393.6,567.6,1213,5,5,1,MIX60,43,BRN,9,2850,1213,1.09,4.32,610.32,31.1,46476.36,60,1.857124181,3197167.15,3872376.92,1,0,1
PLAN94874F,22-01-2025,P_BSP,CMO_DELHI,CUST0239,North,Coil,CR,VIP,101.1,Rail,676,41.6,25.1,811.7,0,0.63,735.9,1,1565.6,923.1,1882.1,2,5,1,RT58,41,BOXN,3,2700,1882.1,2.56,4.05,0,51.5,55185.53,266.8990184,1.791043623,1814130.54,2278744.09,1,0,1
PLANRHOCN9,18-04-2025,P_BSP,CMO_CHENNAI,CUST0082,South,Coil,TMT,Normal,50.7,Rail,529,46.3,6,833,0,0.88,807.9,1,4129.2,318,1759,6,3,0,RT58,35,BOBRN,11,2700,1759,2.18,0,0,50.5,91523.73,149.5255516,1.528310907,1044982.9,1422110.11,1,0,1
PLANJ2QP89,30-03-2025,P_BSP,CMO_DELHI,CUST0167,North,Plate,S1,Normal,59.7,Rail,564,43.4,12.8,1590.6,1,0.96,1339.2,5,1279.5,1540.4,3061.5,9,5,0,RT59,50,BOXN,5,2750,2203.7,1.65,12.32,49390.82,59.3,80660.27,150.5505352,1.177626702,1243656.32,1463656.68,1,0,1
PLANUZFK8U,18-02-2025,P_BSP,CMO_MUMBAI,CUST0099,West,Plate,CR,High,65.7,Rail,725,35.9,24,908.1,0,0.89,883.8,4,7620.1,525.3,1241,3,7,1,RT45,51,BOXN,6,2200,1241,1.4,12.32,41587.57,43.8,68522.84,153.5072947,1.695964578,1081533.55,1525901.73,1,0,1
PLANT0CVS4,04-01-2025,P_BSP,CMO_BHOPAL,CUST0315,Central,Slab,TMT,High,84.8,Rail,699,40.1,29.4,1040.6,0,0.84,999.2,4,1063.2,1150.4,2407.6,6,4,0,RT45,47,BCNHL,8,2200,1753.4,1.75,3.27,0,62.8,83308.27,203.5123878,1.692490419,1388447.44,2074361.28,1,0,1
PLANF8CGVY,28-02-2025,P_BSP,CMO_BHOPAL,CUST0128,Central,Coil,TMT,Normal,27.3,Rail,1121,44.4,21.6,1429.4,0,0.77,1348.5,1,3679.3,354.1,2209.5,8,8,1,RT58,42,BRN,7,2700,2209.5,1.64,3.96,0,58.6,58297.3,160.8431024,1.730508996,2887269.75,4286210.34,1,0,1
PLANIE6IVW,02-11-2025,P_BSP,CMO_KOLKATA,CUST0253,East,Rod,CR,High,74.9,Rail,1709,40.4,35.7,901.9,0,0.57,805.7,4,1012.4,643,115.7,2,7,0,RT59,68,BOBRN,2,2750,115.7,0.14,3.81,0,3.3,46031.05,60,1.488887656,1019822.09,294399.69,0,0,1
PLANPVS7HZ,04-02-2025,P_BSP,CMO_KOLKATA,CUST0077,East,Plate,HB,Normal,25.9,Rail,741,47.5,19.9,1029.1,0,0.97,1022.2,5,2898.5,500,1786.9,1,3,1,RT45,31,BOXN,5,2200,1786.9,1.75,10.84,42327.61,63,81025.28,117.460406,1.320823181,1444606.33,1748892.6,1,0,0
PLANIOYKL1,03-01-2025,P_BSP,CMO_BHOPAL,CUST0049,Central,Plate,A,Normal,52.5,Rail,837,42.4,20.7,1147.1,0,0.72,1066,1,1799.7,561.1,1878.2,6,3,1,RT58,53,BOBRN,23,2700,1878.2,1.76,0,4277.72,54,99559.71,237.3949176,1.420217027,2144181.02,2232657.01,1,0,1
PLANCQ99CH,21-03-2025,P_BSP,CMO_CHENNAI,CUST0030,South,Plate,S1,VIP,102.2,Rail,368,44.5,6.9,1114.4,0,0.55,988.7,4,2136.1,969.2,2719.6,3,4,1,RT59,62,BOXN,8,2750,2717.6,2.75,8.76,37712.22,73.1,63943.1,200.5087872,1.733578058,1065395.04,1733711.2,1,1,1
PLANJ755NF,15-01-2025,P_BSP,CMO_MUMBAI,CUST0065,West,Rod,CR,High,58,Rail,1517,44.9,36.4,957.4,0,0.65,873.3,3,2695.8,987,595.9,2,2,0,RT59,50,BOBRN,9,2750,595.9,0.68,0,0,16.8,77027.64,121.0759992,1.788839991,1820611.71,1617076.11,0,0,0
PLAN4ZW9XA,03-03-2025,P_BSP,CMO_KOLKATA,CUST0073,East,Wire,CR,Normal,66.3,Rail,800,33.6,29,1151.6,1,0.97,971.3,3,2095.6,963,2341.2,8,3,1,RT58,56,BCNHL,6,2700,2341.2,2.41,9.2,34640.8,65.1,90416.66,216.7457563,1.838802865,2552631.27,3444004.21,1,1,1
PLAN3KX7EE,03-03-2025,P_BSP,CMO_DELHI,CUST0129,North,Plate,S1,Normal,92.2,Rail,717,40.3,22.2,1369.8,1,0.51,1022.7,4,1987.6,451.1,2077,9,1,0,MIX60,65,BCNHL,10,2850,2077,2.03,14.98,75825.09,55.8,90736.84,359.8436357,1.709195199,2172960.09,2545348.87,1,0,1
PLANDTJVZH,16-02-2025,P_BSP,CMO_MUMBAI,CUST0086,West,Rod,HR,High,74.3,Rail,314,38,10.1,1169.3,0,0.6,1052.3,3,593,851.9,2720.5,7,6,1,RT59,68,BOXN,36,2750,1104.1,1.05,7.76,84447.96,29.7,88805.51,185.4104549,1.448212581,941904.4,502077.05,0,0,1
PLANWJR64D,03-03-2025,P_BSP,CMO_KOLKATA,CUST0043,East,Rod,HB,Normal,63.2,Rail,495,46.3,18.6,1035.4,1,0.84,844.3,5,4134.6,461.4,1358.2,9,6,1,RT45,48,BOBRN,3,2200,1358.2,1.61,10.96,30932.46,50.3,63584.16,137.2878148,1.645834207,1391994.98,1106509.15,0,0,1
PLANPJA1WJ,20-02-2025,P_BSP,CMO_KOLKATA,CUST0113,East,Slab,HR,Normal,78.5,Rail,1017,42.8,25,1436.5,0,0.85,1382.6,2,4525.1,1386.5,2340.1,7,1,1,RT59,46,BOST,8,2750,2340.1,1.69,3.9,0,66.1,82251.22,154.3204975,1.420739664,2348915.65,3381192.33,1,0,1
PLAN0TPAC5,18-04-2025,P_BSP,CMO_MUMBAI,CUST0237,West,Coil,HR,High,79.7,Rail,578,38.9,15.1,1626.6,0,0.83,1556.3,5,1696.1,429.8,1022.1,3,1,0,RT45,49,BOST,1,2200,1022.1,0.66,5.97,0,37.9,67973.95,96.15919481,1.528865746,919543.83,903213.83,0,0,1
PLAN6T4UFE,24-02-2025,P_BSP,CMO_CHENNAI,CUST0051,South,Coil,TMT,Normal,31.9,Rail,1053,32.3,36.9,1438.8,0,0.74,1345.7,5,2525.5,611.2,3243.6,1,4,1,MIX60,54,BRN,2,2850,2892.2,2.15,8.28,19849.6,74.2,64196.38,231.984299,1.717098446,3803546.44,5229400.31,1,0,0
PLANL6246H,26-04-2025,P_BSP,CMO_DELHI,CUST0088,North,Coil,HR,High,67.5,Rail,713,30.4,15.9,919.2,0,0.6,828.1,4,4103.3,823.2,1503.1,1,5,1,MIX60,45,BOST,10,2850,1503.1,1.82,2.11,0,41.8,81808.64,64.59605425,1.444883966,1587158,1548497.03,0,0,0
PLANID25OW,03-05-2025,P_BSP,CMO_KOLKATA,CUST0203,East,Slab,HB,Normal,28.9,Rail,1753,41.9,45.6,925.8,0,0.62,838,5,2593.5,391.4,759.2,5,7,1,RT59,59,BCNHL,4,2750,759.2,0.91,5.03,0,20.8,70377.4,192.7332351,1.590758958,2251964.08,2117105.46,0,0,1
PLANF75935,01-03-2025,P_BSP,CMO_MUMBAI,CUST0267,West,Coil,TMT,Normal,80.9,Rail,1099,35.7,29,1309.2,0,0.61,1180.5,4,1314.3,1053.5,1191.7,9,3,1,MIX60,63,BOST,7,2850,1191.7,1.01,2.21,0,33.1,83788.16,60,1.902623845,1551230.88,2491825.16,1,0,1
PLANA0L725,04-11-2025,P_BSP,CMO_KOLKATA,CUST0395,East,Coil,A,Normal,55.3,Rail,194,44,6,1242.8,0,0.98,1235.7,1,879.5,1245.6,2478,6,3,1,RT58,68,BRN,3,2700,1626.9,1.32,7.8,8640.25,43.2,74277.14,198.485867,2.094607887,759145.29,661097.21,0,0,1
PLAN3J2D54,20-02-2025,P_BSP,CMO_KOLKATA,CUST0288,East,Coil,A,Normal,27.6,Rail,1011,30.1,36.1,893.8,1,0.54,672.8,4,2645.7,446.7,1776,2,5,0,RT59,50,BOBRN,7,2750,1776,2.64,0,0,50.2,85147.83,204.0932864,1.76149063,2032954.54,3162819.84,1,0,0
PLANI3QK2I,01-07-2025,P_BSP,CMO_MUMBAI,CUST0306,West,Rod,HB,VIP,98.5,Rail,753,49.6,12.4,1271.6,0,0.86,1228.5,4,1965.4,528.5,2506.7,6,7,1,RT45,42,BOXN,2,2200,2282.5,1.86,1.25,0,80.5,96937.52,194.4439294,1.306883974,1907971.47,2246170.89,1,1,1
PLANAGL58K,21-01-2025,P_BSP,CMO_CHENNAI,CUST0281,South,Coil,HR,High,68.2,Rail,1337,44,20.7,1224.7,0,0.89,1191.2,1,1802.2,1277.6,2906.7,4,8,1,RT58,30,BOBRN,9,2700,2568.8,2.16,3.93,4724.21,73.8,76454.71,200.1213335,1.712910323,3879367.05,5882965.84,1,0,1
PLANXO9T7E,14-03-2025,P_BSP,CMO_BHOPAL,CUST0007,Central,Plate,A,Normal,82.5,Rail,1643,40.6,35.2,1569.5,0,0.51,1377.3,2,1144.8,857.9,2480.6,9,3,1,RT45,39,BOXN,2,2200,1659.5,1.2,8.71,18361.38,58.5,67242.7,280.5622729,1.543628082,3119377.73,4208792.27,1,1,1
PLAN8G8JDP,02-08-2025,P_BSP,CMO_KOLKATA,CUST0340,East,Slab,S1,Normal,25,Rail,1114,50.1,32.4,1091.1,0,0.5,955,1,1473.6,711.8,2453.1,3,7,1,MIX60,40,BCNHL,0,2850,1900.7,1.99,9.62,19310.56,51.1,95151.92,85.37414566,1.503056914,2345208.43,3182542.35,1,0,1
PLAN0LVSNU,18-01-2025,P_BSP,CMO_DELHI,CUST0194,North,Coil,TMT,Normal,65.9,Rail,285,45.7,6,1546.7,0,0.84,1486.1,4,2212.9,495.1,1102.5,7,3,1,RT58,66,BCNHL,35,2700,1102.5,0.74,9.75,84094.59,30.7,91521.48,250.4963768,1.448843794,905536.44,455244.83,0,0,1
PLANJZA7TZ,01-04-2025,P_BSP,CMO_MUMBAI,CUST0178,West,Coil,HR,High,123.7,Rail,1782,37.1,49.9,1557.6,0,0.97,1544.6,3,1515.3,652.4,1264.4,8,1,1,RT45,62,BOXN,9,2200,1264.4,0.82,7.12,13804.54,44.6,88160.56,278.3752044,1.38826107,3314917.05,3127975.42,0,0,1
PLAN0YNCXL,30-03-2025,P_BSP,CMO_KOLKATA,CUST0154,East,Rod,CR,High,62,Rail,326,40.5,6,1031.7,1,0.71,812.6,4,1843.9,741.4,971.8,2,5,1,RT59,47,BRN,5,2750,971.8,1.2,4.5,0,25.3,77235.07,262.0207372,1.724612471,953484.74,546368.96,0,0,1
PLANL4ZKLO,03-01-2025,P_BSP,CMO_CHENNAI,CUST0178,South,Rod,TMT,High,72.4,Rail,1662,28.2,71.5,1288.5,0,0.89,1252.6,1,1774.7,1055.8,1821.5,7,7,1,MIX60,56,BRN,4,2850,1821.5,1.45,2.24,0,46.7,63004.06,263.8287303,1.766530806,4495182.71,5347877,1,0,1
PLANOKEP7Y,14-01-2025,P_BSP,CMO_KOLKATA,CUST0074,East,Slab,CR,Normal,44.6,Rail,837,46.4,18.5,1147.1,0,0.83,1099,4,2682.2,798.9,3148.2,5,4,1,RT59,52,BOXN,10,2750,3148.2,2.86,8.09,36653.38,84.7,87393.41,249.7626633,1.750469663,3325696.55,4612563.53,1,0,1
PLAN6WKTAK,24-04-2025,P_BSP,CMO_CHENNAI,CUST0030,South,Plate,HB,Normal,28.3,Rail,1230,38.2,28.1,1136.9,0,0.57,1013.8,1,763.7,435.9,1623.6,1,7,1,RT45,67,BOST,1,2200,1025.2,1.01,1.55,0,38,78656.87,247.0547721,1.450689986,1829937.83,1829314.27,0,0,0
PLANPUXQPH,01-09-2025,P_BSP,CMO_BHOPAL,CUST0160,Central,Coil,HR,High,94.4,Rail,226,28.1,13.3,1261.6,0,0.65,1151.3,5,1460.3,590.9,3029.3,7,3,0,RT45,60,BRN,6,2200,1814.8,1.58,12.13,33241.73,62,73875.83,88.16341121,1.510776827,600372.66,619637.26,1,0,1
PLANR62GDS,31-03-2025,P_BSP,CMO_KOLKATA,CUST0272,East,Plate,TMT,VIP,122.4,Rail,197,32.9,18.3,1002.5,0,0.93,984.5,2,933.4,352.8,679.2,8,5,1,RT59,39,BRN,11,2750,679.2,0.69,6.99,11779.51,17.7,81118.46,213.5685578,2.024245754,640292.95,270848.94,0,0,1
PLANWM31YI,22-02-2025,P_BSP,CMO_KOLKATA,CUST0213,East,Coil,A,Normal,30.1,Rail,1485,45.2,30.4,801.2,0,0.87,774.8,2,1984.9,747,1483.2,1,6,1,RT45,55,BOXN,11,2200,1483.2,1.91,0.54,0,52.3,73429.28,60,1.399142198,2454539.91,3081683.45,1,0,0
PLANHAIR4C,01-02-2025,P_BSP,CMO_MUMBAI,CUST0275,West,Slab,TMT,Normal,22.4,Rail,491,49.7,6,1067,1,0.51,795.2,1,1112.1,1701.7,1153.8,4,5,0,RT45,44,BOXN,1,2200,1153.8,1.45,5.67,0,40.7,93065.38,285.6899496,1.615772212,1164214.22,915360.49,0,0,1
PLANOWGZRI,25-03-2025,P_BSP,CMO_MUMBAI,CUST0143,West,Wire,HR,Normal,26.3,Rail,1767,40.1,57.8,1495.2,0,0.7,1384.2,2,3177,1790.8,2108.1,4,4,1,MIX60,48,BOXN,1,2850,2108.1,1.52,4.38,0,55.8,83151.64,222.3826751,1.408074934,4049313.06,5245097.01,1,0,1
PLANXA11DP,04-02-2025,P_BSP,CMO_MUMBAI,CUST0275,West,Slab,CR,High,81.6,Rail,1687,34.1,48.7,1149.2,0,0.54,1015.9,3,1412.8,930.9,2053.5,5,3,1,RT58,68,BOST,11,2700,1971.3,1.94,0.79,0,56.6,104952.28,203.7317956,1.588770119,3620175.01,5283587.06,1,1,1
PLANG8SBI4,21-04-2025,P_BSP,CMO_KOLKATA,CUST0129,East,Plate,CR,Normal,43.3,Rail,442,31.5,12.6,1194.2,0,0.56,1063.7,3,1279.6,138.9,638.6,5,4,1,RT59,37,BRN,1,2750,638.6,0.6,12.97,37391.16,16.7,99412.1,159.6623489,1.422705708,1082899.86,401574.62,0,0,1
PLANQ2Y9V8,03-01-2025,P_BSP,CMO_MUMBAI,CUST0172,West,Slab,HB,High,60.8,Rail,1612,48.5,20.4,1398.2,0,0.83,1338,2,1096.7,1170.4,1217.9,4,7,1,RT58,38,BCNHL,27,2700,1217.9,0.91,7.52,54223.11,33.9,69719.47,207.9084427,1.541323748,3119622.29,3026011.25,0,0,1
PLAN6WZS3T,03-12-2025,P_BSP,CMO_DELHI,CUST0169,North,Plate,HR,VIP,94.1,Rail,216,42.7,6,800.7,1,0.81,647.8,1,2101.9,1066.9,2609.4,1,4,1,RT45,47,BOXN,2,2200,2609.4,4.03,2.23,0,92,58717.4,244.5611555,1.756958748,577068.46,990275.36,1,1,1
