plan_id,plan_date,plant_id,yard_id,customer_id,region,product_cat,product_grade,priority_tier,priority_score,mode_pref,distance_km,rail_speed_kmph,transit_hours,lp_tph,lp_cutoff_active,lp_shift_util,effective_lp_tph,siding_slots,inventory_t,production_forecast_t,order_demand_t,sla_days,lead_days,rake_available,rake_type,wagons_available,wagon_type,route_block_hours,min_rake_tonnage,planned_qty_t,load_hours,siding_queue_hours,expected_demurrage,utilization_pct,terminal_cost,late_penalty_per_t_day,road_cost_per_t_km,rail_cost_total,road_cost_total,choose_rail_label,selected_for_rake_label,on_time_label,plan_dayofweek,plan_month,plan_day,selected_for_rake_prob,choose_rail_prob,on_time_prob,pred_rail_cost_total,pred_road_cost_total,y_rail,q_rail_tons,optimized_total_cost,optimized_mode
PLAN9XUY41,2025-04-23,P_BSP,CMO_MUMBAI,CUST0058,West,Wire,A,Normal,37.5,Rail,166,33.7,7.8,1121.6,0,0.81,1068.3,5,595.0,855.2,2061.2,2,6,0,RT58,45,BOST,5,2700,1108.1,1.04,7.38,11060.51,31.8,73690.23,149.6509241,1.219126166,732147.1,224251.67,0,0,1,2,4,23,0.0036906160471004454,0.025382239259535463,0.9606029425888298,714342.0406147621,240782.07703669884,0,0.0,240782.07703669884,Road
PLANIBLJH7,2025-04-24,P_BSP,CMO_MUMBAI,CUST0088,West,Coil,A,Normal,65.0,Rail,544,41.5,18.1,811.3,0,0.96,802.3,4,1423.3,670.0,1546.9,8,4,1,MIX60,57,BOBRN,0,2850,1546.9,1.93,10.27,23528.61,43.0,83136.8,178.6917592,1.449683893,1033447.63,1219928.71,1,0,1,3,4,24,0.004974377516237417,0.7941689476837285,0.9959212291302987,1349538.5296182742,1255674.0741875307,0,0.0,1255674.0741875307,Road
PLAN5LXO6Q,2025-04-25,P_BSP,CMO_MUMBAI,CUST0329,West,Rod,TMT,Normal,29.2,Rail,155,49.1,7.3,1062.0,1,0.81,859.8,3,3827.3,1455.1,1249.6,1,7,0,RT58,58,BOST,10,2700,1249.6,1.45,0.79,0.0,35.9,92054.23,234.9005957,1.750358743,627551.66,339023.48,0,0,1,4,4,25,0.0038946687396806193,0.02748773150422792,0.9415235065063677,704921.1235780148,360538.3282197701,0,0.0,360538.3282197701,Road
PLANJIUJV6,2025-04-26,P_BSP,CMO_MUMBAI,CUST0356,West,Wire,HB,Normal,26.0,Rail,550,27.2,24.1,1028.4,0,0.81,980.5,5,2289.0,1276.1,2132.7,1,4,0,RT59,31,BOBRN,11,2750,2132.7,2.18,0.0,0.0,60.2,84310.69,151.2683109,1.78226802,1619639.34,2090573.65,1,0,0,5,4,26,0.010567650170177264,0.9861265448330298,0.08789658862164693,1653026.7924202022,2090842.6007491653,0,0.0,2090842.6007491653,Road
PLANOH9SDB,2025-04-27,P_BSP,CMO_BHOPAL,CUST0384,Central,Wire,TMT,Normal,58.0,Rail,493,30.8,12.2,1387.7,0,0.52,1222.7,2,899.5,672.3,2918.7,8,4,1,RT58,45,BOST,0,2700,1302.9,1.07,7.81,5086.16,37.4,56718.35,186.2828848,1.462891068,1021109.39,939658.38,0,0,1,6,4,27,0.003693598878863554,0.16369951460285764,0.9965853668075396,1144692.160560295,864722.6823813645,0,0.0,864722.6823813644,Road
PLANDW2PCN,2025-04-28,P_BSP,CMO_KOLKATA,CUST0032,East,Slab,A,Normal,58.7,Rail,904,44.1,25.3,1222.6,0,0.84,1174.6,1,4915.5,695.7,2658.6,9,5,1,RT58,48,BOST,2,2700,2658.6,2.26,2.74,0.0,76.4,73178.12,111.654317,1.520774225,2311054.7,3654989.84,1,1,1,0,4,28,0.5932269668331326,0.9617904443658609,0.9962301040640709,2916048.421677627,3808336.075130365,0,0.0,3808336.075130365,Road
PLAN9T84AZ,2025-04-29,P_BSP,CMO_DELHI,CUST0200,North,Coil,HB,Normal,90.5,Rail,974,48.2,11.6,819.4,0,0.73,765.0,1,422.2,1118.9,1243.3,9,1,1,RT58,56,BOST,10,2700,1093.5,1.43,4.0,2886.66,31.4,70018.33,301.796614,1.550652008,1593578.8,1651551.38,1,0,1,1,4,29,0.003667121587359232,0.5228934895982444,0.996254442709505,1609988.4031977975,1617432.7269992544,0,0.0,1617432.7269992544,Road
PLANYTJXEP,2025-04-30,P_BSP,CMO_MUMBAI,CUST0147,West,Slab,A,Normal,47.5,Rail,805,37.1,34.3,1309.6,0,0.82,1249.4,5,1951.8,819.0,2042.2,8,5,1,RT58,68,BOST,10,2700,2042.2,1.63,4.87,9027.75,58.7,85150.17,266.1494679,1.157143069,2350665.14,1902309.65,0,0,1,2,4,30,0.2531780913608508,0.24753750245047734,0.996654461152554,2143424.7074632333,1928289.329390127,0,0.0,1928289.329390127,Road
PLANQ85JSG,2025-03-01,P_BSP,CMO_MUMBAI,CUST0068,West,Coil,A,VIP,121.7,Rail,536,28.0,21.4,682.3,1,0.88,562.0,4,5061.6,805.1,1202.0,8,5,0,MIX60,31,BOST,13,2850,1202.0,2.14,3.61,10233.76,33.4,80342.67,200.4760729,1.51084387,1153988.21,973394.4,0,0,1,5,3,1,0.0042371123605506765,0.09149743811159214,0.9955099355441269,1227846.2880863934,979122.7437392446,0,0.0,979122.7437392448,Road
PLAN65KXVF,2025-01-22,P_BSP,CMO_KOLKATA,CUST0334,East,Coil,S1,Normal,38.2,Rail,1388,48.6,35.5,918.7,0,0.76,863.0,5,705.7,525.2,1946.9,4,4,1,RT45,47,BRN,8,2200,1020.8,1.18,7.21,16592.99,34.9,91378.25,205.0833274,1.603268091,1886270.58,2271623.1,1,0,1,2,1,22,0.003630738982330902,0.9600376307903693,0.9960433026575082,2021865.768715816,2261945.7180142254,0,0.0,2261945.7180142254,Road
PLAN1T2TAL,2025-02-22,P_BSP,CMO_MUMBAI,CUST0278,West,Coil,TMT,High,96.1,Rail,1342,35.1,42.3,1203.7,0,0.62,1088.9,4,1358.5,1039.5,2126.2,8,4,0,RT58,52,BOXN,10,2700,1982.2,1.82,9.19,49453.0,54.2,61619.62,174.9138974,1.932947602,3191885.74,5141857.89,1,0,1,5,2,22,0.012313645844152425,0.9914702034914536,0.9953251471785876,3266766.476224175,5175417.302628515,0,0.0,5175417.302628515,Road
PLANA753LC,2025-02-01,P_BSP,CMO_KOLKATA,CUST0046,East,Wire,S1,Normal,27.4,Rail,1780,37.8,47.3,1043.9,0,0.91,1020.4,4,777.7,544.1,2019.3,7,7,1,RT58,41,BCNHL,1,2700,1104.2,1.08,0.9,0.0,30.7,100143.76,175.5430188,1.858429505,3166581.64,3652698.59,1,0,1,5,2,1,0.0036062843630654488,0.9711371335518294,0.9896650993639372,2715250.2491311235,3631162.3209342007,0,0.0,3631162.3209342007,Road
PLAN58DRC1,2025-03-29,P_BSP,CMO_MUMBAI,CUST0069,West,Wire,HB,Normal,93.0,Rail,1702,41.9,37.4,1497.9,0,0.89,1457.9,1,4217.3,544.0,2494.7,9,1,1,RT59,55,BOST,8,2750,2494.7,1.71,5.59,10760.18,70.5,107833.63,131.5395901,1.86004862,4752514.81,7897728.12,1,1,1,5,3,29,0.6494576441736022,0.9914964970990651,0.9962835363942157,4938524.638042523,7791025.578399684,0,0.0,7791025.578399683,Road
PLAN1ERTJ5,2025-04-18,P_BSP,CMO_BHOPAL,CUST0089,Central,Plate,A,VIP,122.6,Rail,732,36.0,16.0,1242.3,0,0.57,1107.4,2,1106.0,915.7,1297.1,8,5,0,RT58,59,BRN,1,2700,1297.1,1.17,16.76,54072.3,34.4,54726.6,211.7140877,1.894132473,1527649.16,1798435.6,1,0,1,4,4,18,0.0038300060999969126,0.9387527372219509,0.9944261254967787,1462803.9699357538,1743743.2029329329,0,0.0,1743743.202932933,Road
PLANPHT0HL,2025-01-30,P_BSP,CMO_CHENNAI,CUST0151,South,Wire,TMT,High,66.5,Rail,751,34.7,26.3,1356.5,0,0.67,1245.8,3,3283.0,856.2,2736.2,2,6,1,RT45,43,BRN,7,2200,2736.2,2.2,8.93,31869.22,93.5,92385.4,120.460345,1.796183683,2542840.94,3690953.06,1,0,1,3,1,30,0.12023625379490305,0.9918991722818784,0.9493990612992378,2338479.532671756,3721980.3579083947,1,2200.0,2733852.178580639,Rail
PLAN9XPSEI,2025-07-02,P_BSP,CMO_CHENNAI,CUST0038,South,Rod,TMT,Normal,34.5,Rail,1661,34.9,52.0,1366.7,0,0.92,1339.1,2,4160.2,813.5,1540.6,8,8,1,RT58,44,BOST,8,2700,1540.6,1.15,12.0,36963.03,44.3,70727.33,199.0652416,1.484926284,3713939.76,3799832.22,1,0,1,2,7,2,0.003667121587359232,0.9570719087150561,0.9954653358609994,3438561.1023907596,3826597.4719849373,0,0.0,3826597.4719849373,Road
PLANMVIHCW,2025-02-01,P_BSP,CMO_MUMBAI,CUST0304,West,Rod,S1,Normal,50.5,Rail,1475,51.1,32.2,1089.2,0,0.88,1056.6,3,836.3,74.1,1004.3,8,5,1,RT58,30,BOST,0,2700,880.8,0.83,4.23,0.0,25.3,79852.31,218.8562823,1.46488306,2157710.09,1903146.77,1,0,1,5,2,1,0.003667121587359232,0.5024380355274658,0.9965891970137278,1985113.0090689498,1845112.0997506077,0,0.0,1845112.0997506077,Road
PLANI64CIY,2025-05-03,P_BSP,CMO_DELHI,CUST0218,North,Coil,A,Normal,51.3,Rail,574,47.0,11.5,933.6,0,0.93,917.6,1,737.0,895.2,2502.8,9,6,0,RT59,46,BRN,9,2750,1274.1,1.39,10.3,29473.2,33.2,75049.58,198.0286791,1.579007751,1313773.9,1154781.11,0,0,1,5,5,3,0.003667121587359232,0.1963195053959505,0.9964920321823552,1262764.2298752568,1187968.479410019,0,0.0,1187968.479410019,Road
PLANHE7UR2,2025-01-03,P_BSP,CMO_BHOPAL,CUST0110,Central,Coil,HB,Normal,24.5,Rail,1727,43.4,42.2,1187.5,1,0.59,906.0,3,2410.3,0.0,2120.7,3,4,1,RT58,37,BCNHL,10,2700,2120.7,2.34,11.0,52513.52,59.0,98725.02,135.2164131,1.355737064,4477130.44,4965317.72,1,0,1,4,1,3,0.06997717839291737,0.9242274614463286,0.9621750442652076,4223534.123245098,4936962.059571096,0,0.0,4936962.059571096,Road
PLAN3GDPPQ,2025-01-21,P_BSP,CMO_KOLKATA,CUST0033,East,Coil,S1,High,94.2,Rail,1148,26.9,40.2,1416.8,1,0.76,1133.4,4,2879.5,1208.9,2479.8,8,5,1,RT58,60,BOST,11,2700,2479.8,2.19,8.6,32591.47,71.3,76646.96,238.8332254,1.908768033,4099177.22,5433900.69,1,0,1,1,1,21,0.14007438760431692,0.9918549636317076,0.9943093176051533,3373128.9861834585,5510058.798566362,0,0.0,5510058.798566362,Road
PLAN0Y9DOM,2025-02-02,P_BSP,CMO_BHOPAL,CUST0020,Central,Slab,CR,Normal,62.8,Rail,1504,43.5,30.5,1141.8,0,0.73,1064.2,5,1733.2,578.6,1906.1,8,5,0,RT45,55,BOBRN,4,2200,1906.1,1.79,7.47,8449.01,70.6,62935.14,131.2634096,1.559365796,3442458.7,4470349.94,1,0,1,6,2,2,0.020972254026368743,0.9851326118608033,0.994383109101788,3210521.2586482973,4543896.80352869,0,0.0,4543896.80352869,Road
PLAN5IGQPK,2025-03-17,P_BSP,CMO_DELHI,CUST0071,North,Coil,HB,Normal,45.6,Rail,1350,43.1,29.6,1347.7,0,0.6,1213.4,3,1836.0,863.6,271.7,4,2,1,RT58,47,BOBRN,0,2700,271.7,0.22,4.65,0.0,7.8,77924.43,202.2327418,1.710514725,1312267.22,627408.25,0,0,1,0,3,17,0.003666940791802475,0.0416952340462418,0.9960000329668031,1085640.5308689415,561399.8386495518,0,0.0,561399.8386495518,Road
PLANI7P5TB,2025-02-27,P_BSP,CMO_CHENNAI,CUST0264,South,Coil,S1,High,68.2,Rail,1719,32.3,51.8,1193.2,0,0.74,1115.9,2,4393.6,567.6,1213.0,5,5,1,MIX60,43,BRN,9,2850,1213.0,1.09,4.32,610.32,31.1,46476.36,60.0,1.857124181,3197167.15,3872376.92,1,0,1,3,2,27,0.003667121587359232,0.9843548312300501,0.9961079553653328,2742237.476911973,3859300.6618149416,0,0.0,3859300.661814941,Road
PLAN94874F,2025-01-22,P_BSP,CMO_DELHI,CUST0239,North,Coil,CR,VIP,101.1,Rail,676,41.6,25.1,811.7,0,0.63,735.9,1,1565.6,923.1,1882.1,2,5,1,RT58,41,BOXN,3,2700,1882.1,2.56,4.05,0.0,51.5,55185.53,266.8990184,1.791043623,1814130.54,2278744.09,1,0,1,2,1,22,0.010769597331457397,0.9790597526525731,0.9880076811215976,1835887.1830411244,2411273.186817849,0,0.0,2411273.1868178495,Road
PLANRHOCN9,2025-04-18,P_BSP,CMO_CHENNAI,CUST0082,South,Coil,TMT,Normal,50.7,Rail,529,46.3,6.0,833.0,0,0.88,807.9,1,4129.2,318.0,1759.0,6,3,0,RT58,35,BOBRN,11,2700,1759.0,2.18,0.0,0.0,50.5,91523.73,149.5255516,1.528310907,1044982.9,1422110.11,1,0,1,4,4,18,0.008700770686035742,0.8731388922812547,0.9965844988542703,1286476.726246198,1436321.4589044892,0,0.0,1436321.4589044892,Road
PLANJ2QP89,2025-03-30,P_BSP,CMO_DELHI,CUST0167,North,Plate,S1,Normal,59.7,Rail,564,43.4,12.8,1590.6,1,0.96,1339.2,5,1279.5,1540.4,3061.5,9,5,0,RT59,50,BOXN,5,2750,2203.7,1.65,12.32,49390.82,59.3,80660.27,150.5505352,1.177626702,1243656.32,1463656.68,1,0,1,6,3,30,0.008665034618101771,0.5054614823777593,0.9952547121880683,1611075.730336276,1495326.8093345023,0,0.0,1495326.8093345023,Road
PLANUZFK8U,2025-02-18,P_BSP,CMO_MUMBAI,CUST0099,West,Plate,CR,High,65.7,Rail,725,35.9,24.0,908.1,0,0.89,883.8,4,7620.1,525.3,1241.0,3,7,1,RT45,51,BOXN,6,2200,1241.0,1.4,12.32,41587.57,43.8,68522.84,153.5072947,1.695964578,1081533.55,1525901.73,1,0,1,1,2,18,0.003667121587359232,0.9534356067736701,0.9930900689527865,1339846.1578098007,1528968.618257126,0,0.0,1528968.618257126,Road
PLANT0CVS4,2025-01-04,P_BSP,CMO_BHOPAL,CUST0315,Central,Slab,TMT,High,84.8,Rail,699,40.1,29.4,1040.6,0,0.84,999.2,4,1063.2,1150.4,2407.6,6,4,0,RT45,47,BCNHL,8,2200,1753.4,1.75,3.27,0.0,62.8,83308.27,203.5123878,1.692490419,1388447.44,2074361.28,1,0,1,5,1,4,0.006557063431928785,0.986190916649037,0.9941637878914567,1653400.285683418,2126879.0020229896,0,0.0,2126879.0020229896,Road
PLANF8CGVY,2025-02-28,P_BSP,CMO_BHOPAL,CUST0128,Central,Coil,TMT,Normal,27.3,Rail,1121,44.4,21.6,1429.4,0,0.77,1348.5,1,3679.3,354.1,2209.5,8,8,1,RT58,42,BRN,7,2700,2209.5,1.64,3.96,0.0,58.6,58297.3,160.8431024,1.730508996,2887269.75,4286210.34,1,0,1,4,2,28,0.1444703102670421,0.9890164467373577,0.996514434182757,2883010.2532561976,4311446.212685177,0,0.0,4311446.212685177,Road
PLANIE6IVW,2025-11-02,P_BSP,CMO_KOLKATA,CUST0253,East,Rod,CR,High,74.9,Rail,1709,40.4,35.7,901.9,0,0.57,805.7,4,1012.4,643.0,115.7,2,7,0,RT59,68,BOBRN,2,2750,115.7,0.14,3.81,0.0,3.3,46031.05,60.0,1.488887656,1019822.09,294399.69,0,0,1,6,11,2,0.0036330145320197737,0.029800556156715924,0.8310719257956176,1179177.9535780281,299401.6467907133,0,0.0,299401.6467907133,Road
PLANPVS7HZ,2025-02-04,P_BSP,CMO_KOLKATA,CUST0077,East,Plate,HB,Normal,25.9,Rail,741,47.5,19.9,1029.1,0,0.97,1022.2,5,2898.5,500.0,1786.9,1,3,1,RT45,31,BOXN,5,2200,1786.9,1.75,10.84,42327.61,63.0,81025.28,117.460406,1.320823181,1444606.33,1748892.6,1,0,0,1,2,4,0.019528184218660257,0.8549423246181845,0.02881389401393503,1709485.7836906752,1746525.189251335,0,0.0,1746525.1892513349,Road
PLANIOYKL1,2025-01-03,P_BSP,CMO_BHOPAL,CUST0049,Central,Plate,A,Normal,52.5,Rail,837,42.4,20.7,1147.1,0,0.72,1066.0,1,1799.7,561.1,1878.2,6,3,1,RT58,53,BOBRN,23,2700,1878.2,1.76,0.0,4277.72,54.0,99559.71,237.3949176,1.420217027,2144181.02,2232657.01,1,0,1,4,1,3,0.015448704545719966,0.8717631764191107,0.9966467583715128,2073549.145447954,2223921.2723694225,0,0.0,2223921.2723694225,Road
PLANCQ99CH,2025-03-21,P_BSP,CMO_CHENNAI,CUST0030,South,Plate,S1,VIP,102.2,Rail,368,44.5,6.9,1114.4,0,0.55,988.7,4,2136.1,969.2,2719.6,3,4,1,RT59,62,BOXN,8,2750,2717.6,2.75,8.76,37712.22,73.1,63943.1,200.5087872,1.733578058,1065395.04,1733711.2,1,1,1,4,3,21,0.6050904736596979,0.9754734172897825,0.993328514270941,1135937.6267271345,1669773.933570432,0,0.0,1669773.933570432,Road
PLANJ755NF,2025-01-15,P_BSP,CMO_MUMBAI,CUST0065,West,Rod,CR,High,58.0,Rail,1517,44.9,36.4,957.4,0,0.65,873.3,3,2695.8,987.0,595.9,2,2,0,RT59,50,BOBRN,9,2750,595.9,0.68,0.0,0.0,16.8,77027.64,121.0759992,1.788839991,1820611.71,1617076.11,0,0,0,2,1,15,0.0036375310479181385,0.28749726283719634,0.2552582247285115,1638811.2518050866,1605017.3106607334,0,0.0,1605017.3106607334,Road
PLAN4ZW9XA,2025-03-03,P_BSP,CMO_KOLKATA,CUST0073,East,Wire,CR,Normal,66.3,Rail,800,33.6,29.0,1151.6,1,0.97,971.3,3,2095.6,963.0,2341.2,8,3,1,RT58,56,BCNHL,6,2700,2341.2,2.41,9.2,34640.8,65.1,90416.66,216.7457563,1.838802865,2552631.27,3444004.21,1,0,1,0,3,3,0.17679066178306543,0.9899514171891961,0.9965673709473469,2310944.6998986797,3400487.0358123304,0,0.0,3400487.0358123304,Road
PLAN3KX7EE,2025-03-03,P_BSP,CMO_DELHI,CUST0129,North,Plate,S1,Normal,92.2,Rail,717,40.3,22.2,1369.8,1,0.51,1022.7,4,1987.6,451.1,2077.0,9,1,0,MIX60,65,BCNHL,10,2850,2077.0,2.03,14.98,75825.09,55.8,90736.84,359.8436357,1.709195199,2172960.09,2545348.87,1,0,1,0,3,3,0.005763239921703262,0.9462798262210178,0.993803827203827,1932324.3533157597,2586736.5714699808,0,0.0,2586736.5714699808,Road
PLANDTJVZH,2025-02-16,P_BSP,CMO_MUMBAI,CUST0086,West,Rod,HR,High,74.3,Rail,314,38.0,10.1,1169.3,0,0.6,1052.3,3,593.0,851.9,2720.5,7,6,1,RT59,68,BOXN,36,2750,1104.1,1.05,7.76,84447.96,29.7,88805.51,185.4104549,1.448212581,941904.4,502077.05,0,0,1,6,2,16,0.003667121587359232,0.028989375737670783,0.9966338561297446,932433.276175801,506118.4686387815,0,0.0,506118.4686387815,Road
PLANWJR64D,2025-03-03,P_BSP,CMO_KOLKATA,CUST0043,East,Rod,HB,Normal,63.2,Rail,495,46.3,18.6,1035.4,1,0.84,844.3,5,4134.6,461.4,1358.2,9,6,1,RT45,48,BOBRN,3,2200,1358.2,1.61,10.96,30932.46,50.3,63584.16,137.2878148,1.645834207,1391994.98,1106509.15,1,0,1,0,3,3,0.003667121587359232,0.5141606930754836,0.9966467583715128,1069996.5223294254,1096563.5793345592,0,0.0,1096563.5793345592,Road
PLANPJA1WJ,2025-02-20,P_BSP,CMO_KOLKATA,CUST0113,East,Slab,HR,Normal,78.5,Rail,1017,42.8,25.0,1436.5,0,0.85,1382.6,2,4525.1,1386.5,2340.1,7,1,1,RT59,46,BOST,8,2750,2340.1,1.69,3.9,0.0,66.1,82251.22,154.3204975,1.420739664,2348915.65,3381192.33,1,0,1,3,2,20,0.07578603445702865,0.961094961446789,0.9941859348220259,2603766.244435254,3386417.660307168,0,0.0,3386417.660307168,Road
PLAN0TPAC5,2025-04-18,P_BSP,CMO_MUMBAI,CUST0237,West,Coil,HR,High,79.7,Rail,578,38.9,15.1,1626.6,0,0.83,1556.3,5,1696.1,429.8,1022.1,3,1,0,RT45,49,BOST,1,2200,1022.1,0.66,5.97,0.0,37.9,67973.95,96.15919481,1.528865746,919543.83,903213.83,0,0,1,4,4,18,0.003667121587359232,0.05698868020268216,0.9925207516313378,1071387.0316431164,914415.6636420175,0,0.0,914415.6636420175,Road
PLAN6T4UFE,2025-02-24,P_BSP,CMO_CHENNAI,CUST0051,South,Coil,TMT,Normal,31.9,Rail,1053,32.3,36.9,1438.8,0,0.74,1345.7,5,2525.5,611.2,3243.6,1,4,1,MIX60,54,BRN,2,2850,2892.2,2.15,8.28,19849.6,74.2,64196.38,231.984299,1.717098446,3803546.44,5229400.31,1,0,0,0,2,24,0.08798317547982984,0.9929841313837,0.0265947170038971,3527523.419116458,5267231.84100923,0,0.0,5267231.84100923,Road
PLANL6246H,2025-04-26,P_BSP,CMO_DELHI,CUST0088,North,Coil,HR,High,67.5,Rail,713,30.4,15.9,919.2,0,0.6,828.1,4,4103.3,823.2,1503.1,1,5,1,MIX60,45,BOST,10,2850,1503.1,1.82,2.11,0.0,41.8,81808.64,64.59605425,1.444883966,1587158.0,1548497.03,1,0,0,5,4,26,0.0039925749451365355,0.7025854335623661,0.08295750795899745,1541467.7559920682,1508928.579279695,0,0.0,1508928.579279695,Road
PLANID25OW,2025-05-03,P_BSP,CMO_KOLKATA,CUST0203,East,Slab,HB,Normal,28.9,Rail,1753,41.9,45.6,925.8,0,0.62,838.0,5,2593.5,391.4,759.2,5,7,1,RT59,59,BCNHL,4,2750,759.2,0.91,5.03,0.0,20.8,70377.4,192.7332351,1.590758958,2251964.08,2117105.46,1,0,1,5,5,3,0.003633330733802032,0.5716436653356045,0.9957205917732812,1996445.913360975,2090234.2870471184,0,0.0,2090234.2870471184,Road
